record_ref,location_id,amount,raw_payload
REC-056,LOC_101,560.00,Payload for B REC-056
REC-057,LOC_102,570.00,Payload for B REC-057
REC-058,LOC_201,580.00,Payload for B REC-058
REC-059,LOC_202,590.00,Payload for B REC-059
REC-060,LOC_301,600.00,Payload for B REC-060
REC-061,LOC_101,610.00,Payload for B REC-061
REC-062,LOC_102,620.00,Payload for B REC-062
REC-063,LOC_201,630.00,Payload for B REC-063
REC-064,LOC_202,640.00,Payload for B REC-064
REC-065,LOC_301,650.00,Payload for B REC-065
REC-066,LOC_101,660.00,Payload for B REC-066
REC-067,LOC_102,670.00,Payload for B REC-067
REC-068,LOC_201,680.00,Payload for B REC-068
REC-069,LOC_202,690.00,Payload for B REC-069
REC-070,LOC_301,700.00,Payload for B REC-070
REC-071,LOC_101,710.00,Payload for B REC-071
REC-072,LOC_102,720.00,Payload for B REC-072
REC-073,LOC_201,730.00,Payload for B REC-073
REC-074,LOC_202,740.00,Payload for B REC-074
REC-075,LOC_301,750.00,Payload for B REC-075
REC-076,LOC_101,760.00,Payload for B REC-076
REC-077,LOC_102,770.00,Payload for B REC-077
REC-078,LOC_201,780.00,Payload for B REC-078
REC-079,LOC_202,790.00,Payload for B REC-079
REC-080,LOC_301,800.00,Payload for B REC-080
REC-081,LOC_101,810.00,Payload for B REC-081
REC-082,LOC_102,820.00,Payload for B REC-082
REC-083,LOC_201,830.00,Payload for B REC-083
REC-084,LOC_202,840.00,Payload for B REC-084
REC-085,LOC_301,850.00,Payload for B REC-085
REC-086,LOC_101,860.00,Payload for B REC-086
REC-087,LOC_102,870.00,Payload for B REC-087
REC-088,LOC_201,880.00,Payload for B REC-088
REC-089,LOC_202,890.00,Payload for B REC-089
REC-090,LOC_301,900.00,Payload for B REC-090
REC-091,LOC_101,910.00,Payload for B REC-091
REC-092,LOC_102,920.00,Payload for B REC-092
REC-093,LOC_201,930.00,Payload for B REC-093
REC-094,LOC_202,940.00,Payload for B REC-094
REC-095,LOC_301,950.00,Payload for B REC-095
REC-096,LOC_101,960.00,Payload for B REC-096
REC-097,LOC_102,970.00,Payload for B REC-097
REC-098,LOC_201,980.00,Payload for B REC-098
REC-099,LOC_202,990.00,Payload for B REC-099
REC-100,LOC_301,1000.00,Payload for B REC-100
REC-010,LOC_301,105.00,Duplicate Payload B REC-010
REC-020,LOC_301,205.00,Duplicate Payload B REC-020
REC-030,LOC_301,305.00,Duplicate Payload B REC-030
REC-040,LOC_301,405.00,Duplicate Payload B REC-040
REC-050,LOC_301,505.00,Duplicate Payload B REC-050
REC-901,LOC_101,1802.00,Orphan Payload B REC-901
REC-902,LOC_102,1804.00,Orphan Payload B REC-902
REC-903,LOC_201,1806.00,Orphan Payload B REC-903
REC-904,LOC_202,1808.00,Orphan Payload B REC-904
REC-905,LOC_301,1810.00,Orphan Payload B REC-905
REC-906,LOC_101,1812.00,Orphan Payload B REC-906
REC-907,LOC_102,1814.00,Orphan Payload B REC-907
REC-908,LOC_201,1816.00,Orphan Payload B REC-908
REC-909,LOC_202,1818.00,Orphan Payload B REC-909
REC-910,LOC_301,1820.00,Orphan Payload B REC-910
REC-911,LOC_101,1822.00,Orphan Payload B REC-911
REC-912,LOC_102,1824.00,Orphan Payload B REC-912
REC-913,LOC_201,1826.00,Orphan Payload B REC-913
REC-914,LOC_202,1828.00,Orphan Payload B REC-914
REC-915,LOC_301,1830.00,Orphan Payload B REC-915
